"run.profile","parameter","median","lower","upper","Rhat","ESS"
"plate_merdith2021","bf.archive_level",-12.3230737369385,-12.7406423298869,-11.4798847973083,1.66463866990373,22.693310556878
"plate_merdith2021","pf.archive_level",3.99837910671343,3.59579558924934,4.84843221996316,1.72023678828308,13.2069225330849
"plate_merdith2021","brach.archive_level",3.2941989115506,2.89051185773763,4.14086084814066,1.71611166810445,15.9938682080748
"plate_merdith2021","bivalve.archive_level",4.18614622849687,3.78127511106095,5.03306249091697,1.71465257385773,16.4162425489644
"plate_merdith2021","amm.archive_level",1.79664247199109,1.38224291539363,2.64675206405143,1.69409937026125,16.6170095709805
"plate_merdith2021","bel.archive_level",1.75178664007233,1.34508653358183,2.60083347680589,1.71420059150968,15.8082517494805
"plate_merdith2021","micrite.archive_level",3.81386275660327,3.27226333587212,4.6601166516832,1.49531732787311,33.9810793064033
"plate_merdith2021","bulk.archive_level",2.99493052652724,2.58971678553924,3.84494963924154,1.71711456711469,15.425680358104
"plate_merdith2021","bulk_sr.archive_level",2.05344278343311,1.50708834592123,2.90399816319612,1.48355659856077,37.5044890930517
"plate_merdith2021","bulk_marg.archive_level",2.65907118429039,2.25475093029778,3.50357491920396,1.71235487711506,15.3334975796583
"plate_cao2024","d13CO2_sigma",0.0999617320242696,0.0997933642281399,0.0999986633158151,1.00010071470221,23513.236531358
"plate_cao2024","GMST_sigma",0.499614181586035,0.497920115094897,0.499985655059603,1.00009472264376,23644.3379692239
"plate_cao2024","BWT_sigma",0.485688205306662,0.439369962978626,0.499448528096947,1.00047010204182,12883.9230794893
"plate_cao2024","cc_co2_constant1",12.0602576496393,11.8240727348331,12.2245299297067,1.00014866123574,23757.2629805786
"plate_cao2024","cc_co2_coeff1",0.139993463339713,0.139965022613356,0.139999774728181,0.999911739763189,24318.1498335269
"plate_cao2024","asd",1.01822460749406,0.62574460439184,1.4085852661287,1.00024030809503,24342.1092520504
"plate_cao2024","bpump",2.20099455217133,1.61285607156636,2.78299034138187,1.0000849576201,20921.692335163
"plate_cao2024","remin",1.15873335512392,0.652988620267677,1.6683959669372,1.00002949229585,23231.293145211
"plate_cao2024","f_co3",0.00297859379643473,0.0001100676753418,0.0142399484277654,1.00139761937111,568.717636563031
"plate_cao2024","f_carbacid",0.0048601841344484,0.000261489262386266,0.0135737139633471,1.00107821840744,982.48538804307
"plate_cao2024","Abf",4.37152968695796,3.70994768854907,5.05093488887612,1.00037954433062,14868.3662176715
"plate_cao2024","Asurf",1.01822460749406,0.62574460439184,1.4085852661287,1.00024030809503,24342.1092520504
"plate_cao2024","d13CO2_level",-7.49624684592033,-8.51124726499403,-6.59263394910615,1.50638928812366,110.505745146089
"plate_cao2024","bf.nsb_mean",0.386520027362165,-0.0621982956950186,0.840024814500353,1.00002601630581,24272.9351649678
"plate_cao2024","pf.nsb_mean",-0.524016326026953,-0.830632859743766,-0.208672125858574,1.00002908874744,18704.3247240101
"plate_cao2024","brach.nsb_mean",0.181718498921626,-0.126060811401714,0.496961388281309,0.999968985299669,18697.2144246574
"plate_cao2024","bivalve.nsb_mean",-0.710309237203826,-1.0180635727758,-0.394550316632152,0.999993166661049,18461.201778599
"plate_cao2024","amm.nsb_mean",1.678525273821,1.36357946482485,2.00036274656871,0.999990980276572,19143.0528991509
"plate_cao2024","bel.nsb_mean",1.72438138144999,1.41818159138719,2.04133371976392,0.999983418902981,18841.8080511042
"plate_cao2024","micrite.nsb_mean",-0.320775700233255,-0.672257717895667,0.0332006015361417,1.00028346701004,15929.9722243029
"plate_cao2024","bulk.nsb_mean",0.480816259539744,0.173488817155089,0.795296665444661,0.999961911665281,18712.8118689178
"plate_cao2024","bulk_sr.nsb_mean",1.43721005945705,1.00907729926206,1.87256329287097,1.00001279602035,16341.3368574533
"plate_cao2024","bulk_marg.nsb_mean",0.81509141020998,0.504052190822054,1.12931523808861,0.99998300960874,18860.5726114733
"plate_cao2024","bf.nsb_tau",1002006.60976931,934004.246734748,1065813.88413757,1.08302145227554,140.080789684005
"plate_cao2024","pf.nsb_tau",1001623.09136017,941878.491045771,1069324.89472329,1.06613838163292,138.260737150891
"plate_cao2024","brach.nsb_tau",996922.573639077,941901.465369414,1054710.80134032,1.09470742433069,304.766553565309
