"","age","d13C","source","assigned location","assigned lat","assigned lon","category"
"27151"," 93.804943"," 5.03100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27152"," 93.810121"," 5.06800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27153"," 93.815294"," 4.42300000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27154"," 93.820460"," 4.62500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27155"," 93.825047"," 4.70500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27156"," 93.830201"," 4.78500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27157"," 93.835350"," 4.90900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27158"," 93.840492"," 4.65900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27159"," 93.845057"," 4.60600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27160"," 93.850186"," 4.55500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27161"," 93.855309"," 4.60200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27162"," 93.860426"," 4.57800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27163"," 93.864968"," 4.65400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27164"," 93.870073"," 4.58300000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27165"," 93.875170"," 4.53200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27166"," 93.880262"," 4.57200000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27167"," 93.884783"," 4.57000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27168"," 93.889861"," 4.76900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27169"," 93.894934"," 4.58700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27170"," 93.900000"," 4.87500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27171"," 93.906100"," 4.64900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27172"," 93.912960"," 4.58400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27173"," 93.919812"," 4.62000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27174"," 93.926658"," 4.96900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27175"," 93.932740"," 5.11700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27176"," 93.939575"," 5.03700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27177"," 93.946404"," 4.68900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27178"," 93.953230"," 4.54900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27179"," 93.960047"," 4.57600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27180"," 93.966103"," 4.60700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27181"," 93.972910"," 4.52800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27182"," 93.979712"," 4.77400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27183"," 93.986507"," 4.45700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27184"," 93.992543"," 4.66100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27185"," 93.999326"," 4.61400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27186"," 94.006105"," 4.74900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27187"," 94.012877"," 4.83600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27188"," 94.018892"," 4.74100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27189"," 94.025652"," 4.51000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27190"," 94.032408"," 4.52600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27191"," 94.039156"," 4.74700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27192"," 94.045151"," 4.70500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27193"," 94.051888"," 4.88400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27194"," 94.058620"," 4.55600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27195"," 94.065345"," 4.90600000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27196"," 94.071318"," 4.76700000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27197"," 94.084740"," 4.78100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27198"," 94.091442"," 4.89500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27199"," 94.097393"," 4.77000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27200"," 94.104083"," 4.56400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27201"," 94.110766"," 4.98800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27202"," 94.117445"," 4.69500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27203"," 94.123374"," 4.88300000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27204"," 94.130041"," 4.90100000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27205"," 94.136699"," 4.83500000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27206"," 94.143352"," 4.79400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
